case_id,scheme,policy,latency_profile,seed,frames_total,frames_unsafe,unsafe_action_rate,unsafe_lo,unsafe_hi,fraction_O1,fraction_O2,fraction_O3,fraction_O4,ecc_latency_ps,events_total,log
C0,none,uniform,default,1,8,0,0.0,0.0,0.32440756488388023,1.0,0.0,0.0,0.0,0,1040,case_studies/case_C0_none_uniform_default_seed1.log
C0,secded,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,1.0,0.0,0.0,0.0,0,1040,case_studies/case_C0_secded_kernel_aware_default_seed1.log
C0,chipkill,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,1.0,0.0,0.0,0.0,0,1040,case_studies/case_C0_chipkill_kernel_aware_default_seed1.log
C1,none,uniform,default,1,8,8,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,1.0,0,1040,case_studies/case_C1_none_uniform_default_seed1.log
C1,secded,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,1.0,0.0,0.0,0.0,40000,1040,case_studies/case_C1_secded_kernel_aware_default_seed1.log
C1,chipkill,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,1.0,0.0,0.0,0.0,40000,1040,case_studies/case_C1_chipkill_kernel_aware_default_seed1.log
C2,none,uniform,default,1,8,8,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,1.0,0,1040,case_studies/case_C2_none_uniform_default_seed1.log
C2,secded,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,0.0,1.0,0.0,0.0,480000,1040,case_studies/case_C2_secded_kernel_aware_default_seed1.log
C2,chipkill,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,0.0,1.0,0.0,0.0,480000,1040,case_studies/case_C2_chipkill_kernel_aware_default_seed1.log
C3,none,uniform,default,1,8,8,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,1.0,0,1040,case_studies/case_C3_none_uniform_default_seed1.log
C3,secded,kernel_aware,default,1,8,8,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,1.0,0,1040,case_studies/case_C3_secded_kernel_aware_default_seed1.log
C3,chipkill,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,1.0,0.0,0.0,0.0,40000,1040,case_studies/case_C3_chipkill_kernel_aware_default_seed1.log
C4,none,uniform,default,1,8,8,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,1.0,0,1040,case_studies/case_C4_none_uniform_default_seed1.log
C4,secded,kernel_aware,default,1,8,8,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,1.0,0,1040,case_studies/case_C4_secded_kernel_aware_default_seed1.log
C4,chipkill,kernel_aware,default,1,8,8,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,1.0,0,1040,case_studies/case_C4_chipkill_kernel_aware_default_seed1.log
C2,secded,kernel_aware,fast,1,8,0,0.0,0.0,0.32440756488388023,0.0,1.0,0.0,0.0,64000,1040,case_studies/case_C2_secded_kernel_aware_fast_seed1.log
C2,secded,kernel_aware,default,1,8,0,0.0,0.0,0.32440756488388023,0.0,1.0,0.0,0.0,480000,1040,case_studies/case_C2_secded_kernel_aware_default_seed1.log
